dep;pop2019;pop2020;pop2021
01;652432;657015;660875
02;531345;529329;526857
03;335975;334715;333042
04;164308;164789;165171
05;141220;141189;141039
06;1094283;1097578;1101039
07;328278;329357;329841
08;270582;268986;267127
09;153287;153218;153197
10;310242;310544;310804
11;374070;376101;378068
12;279595;279847;279997
13;2043110;2050144;2056455
14;694905;695081;695207
15;144692;144251;143790
16;352015;351405;350888
17;651358;654263;656951
18;302306;300621;298669
19;240073;239434;239019
2A;158507;159852;161082
2B;181933;183782;185528
21;534124;534238;534164
22;600582;600678;600924
23;116617;115641;114609
24;413223;412634;412163
25;543974;545338;546224
26;516762;519478;521894
27;599507;597739;595697
28;431575;430414;429083
29;915090;917427;919983
30;748437;750293;751840
31;1400039;1416735;1434439
32;191377;191627;191910
33;1623749;1642144;1661929
34;1175623;1189624;1203899
35;1079498;1088700;1098420
36;219316;217961;216392
37;610079;611060;612237
38;1271166;1276318;1280557
39;259199;258756;257906
40;413690;416693;419507
41;329470;328236;326778
42;765634;766645;766473
43;227570;227630;227229
44;1429272;1444890;1461267
45;680434;682442;684609
46;174094;174152;174282
47;331271;330680;329848
48;76604;76629;76604
49;818273;820365;822488
50;495045;493881;492667
51;566855;565634;563998
52;172512;170561;168391
53;307062;306715;306224
54;733760;733296;732085
55;184083;182227;180059
56;759684;763308;767088
57;1046543;1046561;1045213
58;204452;202867;201110
59;2608346;2608769;2607879
60;829419;831090;831944
61;279942;277822;275624
62;1465278;1463142;1460003
63;662152;665731;669014
64;682621;685427;688474
65;229567;230113;230579
66;479979;481732;483558
67;1140057;1145881;1150899
68;767086;768054;767736
69;1875747;1888209;1899599
70;235313;234606;233489
71;551493;550035;547937
72;566412;565969;565314
73;436434;438470;439852
74;826094;834280;841639
75;2165423;2157096;2147716
76;1255633;1255115;1254203
77;1421197;1429093;1436063
78;1448207;1453332;1457875
79;374878;374922;374763
80;570559;569338;567745
81;389844;390911;392053
82;260669;261828;262863
83;1076711;1083334;1090123
84;561469;561960;562533
85;685442;689983;694684
86;438435;439000;439635
87;372359;371447;370651
88;364499;362734;360241
89;335707;333941;332048
90;141318;140235;138931
91;1301659;1306277;1310435
92;1624357;1630334;1636156
93;1644903;1657047;1668164
94;1407124;1416471;1425072
95;1249674;1258943;1267124
971;384239;380905;377856
972;364508;360280;356029
973;281678;286032;290528
974;861210;863197;866181
976;269579;279319;288348
